Relatório Gerencial de Investimentos - Confidencial,,,,,,
Gerado pelo sistema central em: 27/02/2026,,,,,,
,,,,,,
ID-Plataforma,Estado,Coluna_Fantasma,Jan_2026,Fev_2026,Mar_2026,Abr_2026
1061-LinkedIn Ads,null,,null,661,3792,2158
1062-LinkedIn Ads,N/A,,1968,7849,1847,3813
1063-Google Ads,RJ,,1610,1697,6637,863
1064-Google Ads,São Paulo,,3599,Erro_API,7838,7011
1065-Pinterest Ads,S. Paulo,,2227,3248,Erro_API,6569
1066-Google Ads,N/A,,7476,6474,5747,4462
1067-Meta Ads,RJ,,7926,6988,2038,6276
1068-LinkedIn Ads,S. Paulo,,7145,2964,2700,7361
1069-Meta Ads,RJ,,553,2694,5058,2142
1070-LinkedIn Ads,Rio de Janeiro,,1839,3579,3037,null
1071-LinkedIn Ads,Rio,,6994,4447,3865,2958
1072-LinkedIn Ads,,,6946,6182,1318,1782
1073-Google Ads,São Paulo,,7142,3350,3669,7213
1074-Google Ads,RJ,,960,3502,1767,4145
1075-Google Ads,null,,7203,1966,2637,6235
1076-Google Ads,SP,,1719,5373,7235,637
1077-TikTok Ads,null,,6057,1275,3537,7156
1078-TikTok Ads,Rio,,7064,2165,2948,5331
1079-Pinterest Ads,,,5115,6257,5092,6067
1080-LinkedIn Ads,,,1718,5792,860,3622
1081-Meta Ads,RJ,,5973,3662,3480,Falhou
1082-TikTok Ads,Rio de Janeiro,,1702,2491,4254,3399
1083-LinkedIn Ads,RJ,,Erro_API,1214,1343,1521
1084-LinkedIn Ads,São Paulo,,2920,2989,4189,7857
1085-Meta Ads,São Paulo,,6995,3266,6200,1774
1086-TikTok Ads,RJ,,650,2012,5261,4136
1087-TikTok Ads,S. Paulo,,2477,2616,5481,2997
1088-Meta Ads,,,3439,669,5592,4282
1089-Google Ads,MG,,6663,4286,6816,1991
1090-Google Ads,MG,,1545,2505,4939,964
1091-Meta Ads,RJ,,3267,4298,1924,6259
1092-TikTok Ads,null,,1606,4602,6040,3942
1093-Meta Ads,,,692,1186,1431,5230
1094-TikTok Ads,N/A,,4739,1130,4519,6630
1095-TikTok Ads,Minas Gerais,,3641,1946,Sem Registro,4492
1096-Pinterest Ads,Minas Gerais,,3482,3361,1997,6256
1097-Google Ads,RJ,,5810,1949,4520,3545
1098-Pinterest Ads,São Paulo,,5266,7089,7754,4843
1099-LinkedIn Ads,São Paulo,,1122,4041,875,5891
1100-TikTok Ads,null,,1012,6109,4820,6688
1101-Pinterest Ads,Rio,,3701,1730,5727,1261
1102-Meta Ads,,,7720,5952,1086,2375
1103-Meta Ads,Rio de Janeiro,,1479,1381,3573,4415
1104-Meta Ads,SP,,3617,5619,7594,N/A
1105-Pinterest Ads,São Paulo,,1073,6710,2969,735
1106-Meta Ads,MG,,2353,1760,4382,7790
1107-Meta Ads,SP,,7523,5122,5698,7118
1108-Meta Ads,Minas Gerais,,5397,4114,2599,6266
1109-LinkedIn Ads,S. Paulo,,5321,1433,4479,4895
1110-LinkedIn Ads,São Paulo,,6979,4001,6463,6802
1111-Meta Ads,Rio,,2326,1465,3786,4491
1112-Meta Ads,MG,,2996,7698,6061,1444
1113-Pinterest Ads,Rio,,2450,3713,4319,826
1114-TikTok Ads,S. Paulo,,1462,3433,4945,743
1115-Google Ads,,,2897,4272,6517,6120
1116-Pinterest Ads,Minas Gerais,,1165,1567,1964,2009
1117-TikTok Ads,null,,1858,2655,5360,871
1118-Meta Ads,Rio,,5182,6757,7738,Sem Registro
1119-TikTok Ads,,,6074,4408,6071,2767
1120-Pinterest Ads,São Paulo,,7859,5986,5529,7050
1121-Pinterest Ads,null,,5578,6950,845,null
1122-TikTok Ads,São Paulo,,6049,3142,1059,3234
1123-Meta Ads,N/A,,7589,4189,5780,5300
1124-Meta Ads,São Paulo,,3579,2657,2442,2283
1125-Google Ads,,,6216,745,7601,1656
1126-TikTok Ads,MG,,4814,805,2176,937
1127-Pinterest Ads,Rio,,3931,2250,6129,3436
1128-LinkedIn Ads,N/A,,3975,1912,1837,3306
1129-TikTok Ads,N/A,,5974,6998,1066,4944
1130-Pinterest Ads,Rio,,6559,5782,3971,1126
1131-TikTok Ads,Rio,,6463,3922,2924,1671
1132-LinkedIn Ads,,,6091,1514,7299,6033
1133-TikTok Ads,Rio,,4590,5935,1699,4272
1134-LinkedIn Ads,null,,5049,5899,4292,2166
1135-Meta Ads,Minas Gerais,,4754,6836,6162,3271
1136-Pinterest Ads,null,,4320,4195,5882,4050
1137-TikTok Ads,,,2167,3456,6378,1616
1138-Meta Ads,S. Paulo,,7903,1926,6897,5069
1139-LinkedIn Ads,São Paulo,,6889,5176,855,7036
1140-Meta Ads,Minas Gerais,,3803,7441,6001,7082
1141-Meta Ads,S. Paulo,,4625,7314,3815,1602
1142-Pinterest Ads,Minas Gerais,,7591,865,6726,5848
1143-Google Ads,N/A,,Sem Registro,1794,3193,5470
1144-Google Ads,Minas Gerais,,5991,Erro_API,3279,3311
1145-Meta Ads,São Paulo,,7411,1847,2101,3201
1146-LinkedIn Ads,S. Paulo,,6226,2939,3106,1701
1147-Google Ads,Rio de Janeiro,,6452,1542,1390,3287
1148-Pinterest Ads,Rio de Janeiro,,5915,892,1105,2905
1149-TikTok Ads,SP,,1500,7259,4785,1759
1150-TikTok Ads,MG,,670,1637,2497,7601
1151-Google Ads,Minas Gerais,,null,2641,Erro_API,4644
1152-TikTok Ads,,,6087,6578,1470,3746
1153-TikTok Ads,Rio de Janeiro,,6756,2050,3817,528
1154-LinkedIn Ads,RJ,,642,7683,Erro_API,2163
1155-Meta Ads,N/A,,4406,5294,4175,3122
1156-Google Ads,Rio de Janeiro,,958,2694,7012,7855
1157-Google Ads,RJ,,7574,6425,2173,5400
1158-TikTok Ads,S. Paulo,,1617,6695,535,1327
1159-LinkedIn Ads,Rio,,1278,4318,2297,1923
1160-LinkedIn Ads,Rio de Janeiro,,N/A,Erro_API,5717,7493
1161-Meta Ads,SP,,Falhou,5663,4274,7055
1162-TikTok Ads,N/A,,5468,6201,7248,523
1163-Pinterest Ads,,,1658,2436,3679,7203
1164-Google Ads,Rio de Janeiro,,1012,5066,4534,3017
1165-Meta Ads,São Paulo,,5435,2036,5948,2724
1166-Pinterest Ads,N/A,,3001,1890,4286,6297
1167-TikTok Ads,São Paulo,,3056,1032,6174,2735
1168-Pinterest Ads,SP,,3616,5720,3775,6784
1169-Google Ads,null,,1335,4777,2861,1547
1170-TikTok Ads,N/A,,4442,5752,2835,849
1171-TikTok Ads,RJ,,1107,7554,4695,725
1172-TikTok Ads,N/A,,3454,7130,4646,7506
1173-TikTok Ads,Minas Gerais,,1888,6675,6834,5389
1174-Meta Ads,N/A,,4368,1855,4559,5155
1175-TikTok Ads,MG,,7486,4109,3303,1635
1176-Google Ads,RJ,,7960,2742,7613,3919
1177-LinkedIn Ads,SP,,2190,3615,502,2123
1178-Meta Ads,,,2810,7630,6537,Falhou
1179-Google Ads,RJ,,1582,6106,4361,5844
1180-Google Ads,S. Paulo,,4708,683,Falhou,781
1181-Meta Ads,,,3454,N/A,3032,3042
1182-LinkedIn Ads,São Paulo,,7427,6409,7469,3630
1183-LinkedIn Ads,,,5450,7714,6497,5296
1184-LinkedIn Ads,,,1316,6744,5500,4740
1185-LinkedIn Ads,Minas Gerais,,7962,7889,3199,1528
1186-Pinterest Ads,,,5921,4463,799,562
1187-LinkedIn Ads,SP,,1717,6398,1560,2517
1188-LinkedIn Ads,S. Paulo,,6845,6136,858,2476
1189-Pinterest Ads,RJ,,6708,2327,802,5015
1190-LinkedIn Ads,null,,3902,2783,2942,7305
1191-LinkedIn Ads,Rio,,1758,4141,1339,6032
1192-Google Ads,Minas Gerais,,5041,3459,5331,3692
1193-Pinterest Ads,SP,,857,1895,4241,1199
1194-Pinterest Ads,SP,,2463,1505,3167,1457
1195-LinkedIn Ads,SP,,856,7398,2187,777
1196-TikTok Ads,N/A,,5151,5728,6684,3235
1197-TikTok Ads,Minas Gerais,,1285,7870,2910,4798
1198-Pinterest Ads,Minas Gerais,,980,6569,3647,5092
1199-TikTok Ads,MG,,3402,7109,6801,1231
1200-Google Ads,RJ,,7250,null,1955,7051
1201-Google Ads,null,,2698,1834,3346,N/A
1202-Meta Ads,N/A,,6534,1419,886,2593
1203-Google Ads,N/A,,7696,3984,5662,841
1204-Google Ads,S. Paulo,,2615,1905,2777,7936
1205-Meta Ads,S. Paulo,,7931,7954,3354,2540
1206-Meta Ads,S. Paulo,,4237,3008,1101,5240
1207-Meta Ads,Rio de Janeiro,,1114,6573,5106,5607
1208-LinkedIn Ads,N/A,,3650,7027,6319,6262
1209-TikTok Ads,Rio,,7676,1613,Falhou,1193
1210-Google Ads,S. Paulo,,7731,4700,4300,3752
1211-TikTok Ads,MG,,7318,4623,3231,5265
1212-Meta Ads,Rio,,6298,904,2781,548
1213-TikTok Ads,,,2607,4003,1078,1136
1214-TikTok Ads,MG,,2705,1358,1020,6021
1215-TikTok Ads,,,3591,5321,7894,6975
1216-TikTok Ads,N/A,,3342,5500,840,7257
1217-Google Ads,RJ,,5408,3636,1751,4860
1218-Meta Ads,,,5821,3725,3510,6096
1219-Meta Ads,MG,,5214,1298,2559,null
1220-Pinterest Ads,RJ,,4706,2912,7200,7251
1221-Pinterest Ads,MG,,7800,2983,5667,936
1222-TikTok Ads,Minas Gerais,,1476,3938,5081,5167
1223-Meta Ads,null,,null,705,2875,3949
1224-Pinterest Ads,,,6662,4133,2774,2199
1225-Google Ads,São Paulo,,4657,1851,3323,1696
1226-TikTok Ads,Rio de Janeiro,,7431,7076,2548,N/A
1227-Google Ads,,,5103,7765,4070,Falhou
1228-LinkedIn Ads,,,698,1598,4211,1860
1229-LinkedIn Ads,Rio de Janeiro,,5517,4445,7670,2870
1230-Google Ads,São Paulo,,5165,1745,1672,Falhou
1231-LinkedIn Ads,,,902,4175,1467,4420
1232-Meta Ads,N/A,,3320,6095,4009,7180
1233-Pinterest Ads,Rio,,7557,2191,1248,1817
1234-Pinterest Ads,São Paulo,,5949,987,4022,1468
1235-LinkedIn Ads,MG,,888,619,4047,7616
1236-LinkedIn Ads,MG,,3091,5608,2764,4555
1237-Google Ads,Minas Gerais,,4671,2493,N/A,1110
1238-Pinterest Ads,Rio,,N/A,6911,651,Erro_API
1239-TikTok Ads,São Paulo,,5240,5093,6445,5881
1240-Meta Ads,Rio de Janeiro,,Falhou,3400,7560,4819
1241-Meta Ads,SP,,4628,5110,3610,7699
1242-LinkedIn Ads,Minas Gerais,,1513,7299,5083,6270
1243-TikTok Ads,Rio de Janeiro,,6824,5368,5234,7440
1244-Pinterest Ads,SP,,6212,4332,2992,5668
1245-Pinterest Ads,null,,4148,2214,6207,4187
1246-LinkedIn Ads,RJ,,Falhou,2668,3146,5911
1247-Google Ads,S. Paulo,,572,4822,1522,7779
1248-LinkedIn Ads,null,,6291,7096,6773,1551
1249-TikTok Ads,São Paulo,,2935,7805,561,4584
1250-Google Ads,S. Paulo,,1488,5671,6679,508
1251-Google Ads,SP,,4490,6138,5767,3899
1252-Pinterest Ads,MG,,3053,3770,3181,3280
1253-TikTok Ads,Minas Gerais,,6700,1690,5340,2887
1254-Pinterest Ads,Rio,,5380,2789,4584,2427
1255-Meta Ads,SP,,2409,4915,4389,2523
1256-Google Ads,São Paulo,,Sem Registro,5165,N/A,4772
1257-Google Ads,S. Paulo,,950,5967,3107,3572
1258-TikTok Ads,,,5830,3898,6753,5872
1259-Google Ads,RJ,,4740,5298,5271,3854
1260-LinkedIn Ads,MG,,5213,5478,701,4909
1261-LinkedIn Ads,MG,,6813,6331,5013,7231
1262-Meta Ads,,,3422,4661,2410,2682
1263-Google Ads,Minas Gerais,,2827,1332,6292,1930
1264-LinkedIn Ads,SP,,3822,7668,6173,4347
1265-Pinterest Ads,N/A,,2249,6686,4439,4771
1266-LinkedIn Ads,MG,,6647,4914,4093,3733
1267-Google Ads,,,7788,6402,1865,1599
1268-Pinterest Ads,RJ,,1352,2018,585,6700
1269-TikTok Ads,S. Paulo,,4219,2504,7574,2464
1270-LinkedIn Ads,Rio de Janeiro,,N/A,1014,1096,4813
1271-TikTok Ads,null,,3932,5016,3826,5782
1272-TikTok Ads,São Paulo,,N/A,2915,4376,7201
1273-Google Ads,Rio,,3770,6967,4869,2572
1274-Google Ads,RJ,,7692,2570,7575,7860
1275-Google Ads,Rio,,7987,4298,2467,5823
1276-TikTok Ads,São Paulo,,1086,734,7226,2000
1277-Pinterest Ads,SP,,3599,4697,3594,3481
1278-LinkedIn Ads,Minas Gerais,,2708,4548,7565,4827
1279-LinkedIn Ads,Rio,,7428,7698,7693,5179
1280-LinkedIn Ads,Rio de Janeiro,,5946,5923,2461,4453
1281-LinkedIn Ads,Rio de Janeiro,,503,5603,1572,4356
1282-LinkedIn Ads,São Paulo,,3187,5270,5320,6273
1283-Google Ads,,,3080,4844,5865,3649
1284-Meta Ads,null,,6612,1245,7912,652
1285-Meta Ads,null,,Sem Registro,2732,6871,7595
1286-TikTok Ads,S. Paulo,,6699,7332,792,4618
1287-Meta Ads,,,3721,3633,3255,5027
1288-Meta Ads,Rio,,6765,5187,7606,1918
1289-Meta Ads,,,N/A,2403,5163,2410
1290-LinkedIn Ads,N/A,,Falhou,6279,3625,4150
1291-Pinterest Ads,,,986,2739,5304,Sem Registro
1292-Pinterest Ads,,,2037,4028,7914,1731
1293-Google Ads,Minas Gerais,,5496,Erro_API,2125,7589
1294-LinkedIn Ads,null,,3796,1508,2831,3201
1295-Google Ads,MG,,2320,4571,3003,7750
1296-Google Ads,S. Paulo,,2325,2677,1276,6717
1297-TikTok Ads,MG,,1100,4492,4406,7083
1298-Pinterest Ads,S. Paulo,,7755,5891,3927,3177
1299-Google Ads,Rio,,6182,1063,2747,5518
1300-LinkedIn Ads,,,870,564,3960,1208
1301-Meta Ads,Rio,,null,1686,3269,5990
1302-Meta Ads,São Paulo,,5617,2516,1363,4252
1303-TikTok Ads,RJ,,4911,7885,5280,4865
1304-TikTok Ads,Rio,,6570,3718,732,1067
1305-Meta Ads,Rio,,4297,7892,5526,3470
1306-Pinterest Ads,,,4619,2210,5208,955
1307-TikTok Ads,Rio de Janeiro,,1627,3094,737,5143
1308-Pinterest Ads,São Paulo,,5038,5609,2531,4680
1309-Pinterest Ads,São Paulo,,1637,5832,6413,2429
1310-TikTok Ads,MG,,828,7059,7090,5104
1311-TikTok Ads,São Paulo,,6047,5619,583,1496
1312-Meta Ads,null,,1466,7912,5385,2583
1313-TikTok Ads,,,2606,4326,2962,3731
1314-TikTok Ads,Rio,,3504,2107,5474,805
1315-Google Ads,null,,1194,7869,967,4719
1316-Google Ads,Rio de Janeiro,,2255,7061,7958,4398
1317-Meta Ads,São Paulo,,990,769,1037,null
1318-TikTok Ads,,,5757,7672,3453,4359
1319-Pinterest Ads,Rio,,5972,1730,7523,3385
1320-Pinterest Ads,São Paulo,,754,2415,6257,3279
1321-TikTok Ads,São Paulo,,5911,6307,3245,6360
1322-LinkedIn Ads,Rio,,7813,5503,1063,5728
1323-Pinterest Ads,null,,6503,3033,997,6197
1324-Google Ads,RJ,,6139,7368,4931,N/A
1325-Google Ads,Minas Gerais,,Falhou,6078,2061,3342
1326-Pinterest Ads,S. Paulo,,2089,5160,6148,3054
1327-TikTok Ads,N/A,,7793,4136,5178,6369
1328-TikTok Ads,SP,,4608,5800,5130,1502
1329-Pinterest Ads,SP,,3440,5531,4935,5268
1330-TikTok Ads,Minas Gerais,,1162,7633,3437,7620
1331-Meta Ads,S. Paulo,,7742,767,7575,958
1332-Meta Ads,RJ,,5057,5640,6454,2464
1333-Google Ads,null,,5744,1937,1414,2717
1334-Pinterest Ads,RJ,,6910,6314,6573,6359
1335-Google Ads,Rio,,5023,3355,960,3258
1336-Pinterest Ads,RJ,,3602,1261,4074,4811
1337-Pinterest Ads,SP,,7424,Falhou,4135,6674
1338-Pinterest Ads,RJ,,746,5571,1071,4066
1339-TikTok Ads,MG,,3423,5634,7314,3292
1340-Meta Ads,,,4504,5007,4742,4842
1341-Google Ads,RJ,,4077,3979,5490,2824
1342-Pinterest Ads,RJ,,N/A,910,4510,1117
1343-Google Ads,Rio,,3861,4185,5014,2096
1344-TikTok Ads,Minas Gerais,,1010,1674,2875,4551
1345-Pinterest Ads,N/A,,6141,2850,2234,4338
1346-Pinterest Ads,N/A,,6759,7001,6783,6837
1347-Meta Ads,Rio,,1121,4354,2816,7108
1348-Meta Ads,São Paulo,,4153,5749,1555,2186
1349-Meta Ads,null,,6324,7982,null,744
1350-TikTok Ads,MG,,7399,3173,3407,1791
1351-Pinterest Ads,null,,1847,3271,3020,7293
1352-LinkedIn Ads,null,,Falhou,1073,7433,3576
1353-LinkedIn Ads,RJ,,4617,5383,1252,3768
1354-Pinterest Ads,null,,3517,574,3144,2657
1355-Pinterest Ads,,,3385,4285,5663,2612
1356-Meta Ads,São Paulo,,2264,2419,2139,4783
1357-Google Ads,Rio de Janeiro,,5759,5076,4854,7226
1358-LinkedIn Ads,Rio,,2489,Falhou,1856,4535
1359-Meta Ads,null,,3216,6431,2151,1384
1360-Pinterest Ads,MG,,N/A,2208,807,6963
1361-LinkedIn Ads,,,4040,6099,2812,4810
1362-Pinterest Ads,São Paulo,,6227,5655,2624,4323
1363-Meta Ads,MG,,4126,5070,5850,5900
1364-Google Ads,SP,,7734,3398,6003,6615
1365-Pinterest Ads,RJ,,2351,4900,5356,5167
1366-TikTok Ads,SP,,6325,2492,6666,6817
1367-Google Ads,Rio de Janeiro,,7837,1763,null,2190
1368-Meta Ads,S. Paulo,,4341,1776,4306,754
1369-Google Ads,S. Paulo,,5123,2614,3816,1083
1370-Pinterest Ads,N/A,,694,2621,Falhou,4698
1371-Google Ads,SP,,7700,5003,5226,5842
1372-Meta Ads,S. Paulo,,4191,1265,7693,7360
1373-Meta Ads,N/A,,3420,5139,4329,2368
1374-Pinterest Ads,São Paulo,,2803,7940,7646,1140
1375-LinkedIn Ads,null,,4893,7925,2728,3595
1376-Pinterest Ads,SP,,1991,1717,4535,662
1377-Pinterest Ads,Rio de Janeiro,,2646,1738,656,2958
1378-TikTok Ads,MG,,5576,3344,4972,6686
1379-Meta Ads,null,,4167,1980,1263,2201
1380-Pinterest Ads,SP,,7992,2718,7840,2348
1381-Pinterest Ads,N/A,,4695,7171,4201,917
1382-Pinterest Ads,Rio,,742,7241,Sem Registro,5218
1383-TikTok Ads,Rio de Janeiro,,6149,4782,4016,5746
1384-LinkedIn Ads,Minas Gerais,,4838,2953,2710,787
1385-TikTok Ads,MG,,4733,2825,3849,3124
1386-LinkedIn Ads,Minas Gerais,,7754,2724,2764,7787
1387-TikTok Ads,MG,,918,6060,Falhou,948
1388-Pinterest Ads,Minas Gerais,,6434,4852,4026,5614
1389-Pinterest Ads,Minas Gerais,,4142,7538,7664,2544
1390-Pinterest Ads,MG,,1722,4622,1210,3563
1391-Google Ads,São Paulo,,4471,7429,5121,3525
1392-Google Ads,São Paulo,,Falhou,5020,7845,5946
1393-Pinterest Ads,São Paulo,,5136,1350,7236,1572
1394-Pinterest Ads,,,4754,3765,N/A,6900
1395-Meta Ads,SP,,4844,4726,7804,3788
1396-Google Ads,S. Paulo,,5241,1390,2295,1422
1397-LinkedIn Ads,SP,,1597,6052,N/A,5062
1398-Pinterest Ads,RJ,,3989,7066,2946,2366
1399-LinkedIn Ads,S. Paulo,,5348,6861,6204,2786
1400-LinkedIn Ads,MG,,2445,Erro_API,6432,549
1401-LinkedIn Ads,N/A,,7156,4622,5112,956
1402-Meta Ads,RJ,,5249,null,955,3387
1403-TikTok Ads,São Paulo,,7877,3820,6788,4409
1404-LinkedIn Ads,S. Paulo,,7686,7428,4014,685
1405-Meta Ads,,,939,2680,5286,4735
1406-Pinterest Ads,Rio de Janeiro,,6021,2571,2185,7270
1407-Pinterest Ads,null,,4215,935,802,708
1408-TikTok Ads,RJ,,1164,4069,2274,6664
1409-Meta Ads,S. Paulo,,3627,5237,3233,7765
1410-LinkedIn Ads,Rio de Janeiro,,1949,6437,1590,1369
1411-Google Ads,MG,,5569,7212,6928,null
1412-LinkedIn Ads,S. Paulo,,538,2690,2807,Sem Registro
1413-LinkedIn Ads,MG,,685,2960,2053,2696
1414-Pinterest Ads,São Paulo,,4082,4145,2407,N/A
1415-LinkedIn Ads,São Paulo,,7548,1661,2442,4488
1416-LinkedIn Ads,MG,,1253,5955,819,6394
1417-TikTok Ads,Rio de Janeiro,,6307,Sem Registro,7685,5106
1418-LinkedIn Ads,MG,,6907,7939,750,2271
1419-LinkedIn Ads,,,3716,2145,6202,5911
1420-Pinterest Ads,RJ,,3220,5926,1713,3174
1421-LinkedIn Ads,SP,,7002,1103,813,5127
1422-TikTok Ads,SP,,2176,2708,5924,3277
1423-TikTok Ads,S. Paulo,,7773,4503,7203,908
1424-Meta Ads,Rio de Janeiro,,7473,1773,1646,1973
1425-TikTok Ads,Minas Gerais,,4664,708,3433,2415
1426-TikTok Ads,RJ,,4012,3159,null,7493
1427-LinkedIn Ads,RJ,,5022,3982,4444,3339
1428-Google Ads,,,2505,4343,862,6374
1429-Meta Ads,Minas Gerais,,964,1179,6766,5473
1430-LinkedIn Ads,S. Paulo,,4899,1610,3306,6509
1431-Meta Ads,S. Paulo,,6390,3145,5504,7259
1432-TikTok Ads,Minas Gerais,,1101,2230,2581,4153
1433-TikTok Ads,São Paulo,,2037,2928,6694,849
1434-Google Ads,Rio,,6048,3422,4959,5617
1435-Pinterest Ads,S. Paulo,,5647,5300,4483,3791
1436-Google Ads,Rio de Janeiro,,1946,4164,4468,3565
1437-Pinterest Ads,Rio,,null,839,4368,5813
1438-Pinterest Ads,Rio de Janeiro,,5998,4169,5502,6994
1439-TikTok Ads,Minas Gerais,,4134,6469,5022,Falhou
1440-TikTok Ads,RJ,,6507,4944,1593,4336
1441-LinkedIn Ads,RJ,,1631,7597,5399,6369
1442-TikTok Ads,null,,1563,5304,2825,6102
1443-Pinterest Ads,S. Paulo,,3775,5079,3547,1142
1444-Meta Ads,MG,,5999,4072,4838,6373
1445-Meta Ads,S. Paulo,,5553,5507,2837,1769
1446-Pinterest Ads,,,1941,736,6335,2858
1447-LinkedIn Ads,Minas Gerais,,3768,2644,1740,6496
1448-LinkedIn Ads,Minas Gerais,,3179,7274,1653,826
1449-Pinterest Ads,S. Paulo,,6290,3875,4988,3338
1450-Pinterest Ads,MG,,3863,6562,3424,5441
1451-TikTok Ads,São Paulo,,6903,890,5340,7948
1452-Meta Ads,Rio de Janeiro,,6167,7963,3348,1151
1453-TikTok Ads,RJ,,5353,2352,3877,6010
1454-TikTok Ads,null,,2854,3040,2564,5334
1455-Pinterest Ads,,,903,1990,3231,962
1456-Google Ads,S. Paulo,,2922,4321,3972,6463
1457-Google Ads,São Paulo,,7639,4123,6721,3358
1458-LinkedIn Ads,São Paulo,,513,6150,1663,1465
1459-Pinterest Ads,MG,,5946,4737,5257,937
1460-Pinterest Ads,São Paulo,,4007,2757,1766,4798
1461-TikTok Ads,Rio de Janeiro,,1501,1853,6131,4705
1462-Google Ads,São Paulo,,903,3945,Erro_API,6689
1463-Meta Ads,Minas Gerais,,null,7689,5890,1191
1464-LinkedIn Ads,SP,,2143,1803,7390,3774
1465-LinkedIn Ads,Rio,,6164,Falhou,1360,2590
1466-LinkedIn Ads,São Paulo,,6905,6207,7026,4766
1467-Google Ads,Rio,,Sem Registro,7383,5153,6001
1468-TikTok Ads,N/A,,711,4183,6613,7111
1469-LinkedIn Ads,Rio,,6639,2711,5245,3300
1470-Google Ads,SP,,945,1608,777,Erro_API
1471-Pinterest Ads,RJ,,2417,5107,7660,4804
1472-LinkedIn Ads,Rio,,2611,3213,4853,1305
1473-Pinterest Ads,RJ,,3772,N/A,5095,6967
1474-Meta Ads,S. Paulo,,6910,3350,4291,7252
1475-Google Ads,null,,3343,7736,7069,2874
1476-Meta Ads,Rio,,2283,2378,N/A,1273
1477-LinkedIn Ads,null,,3783,6851,4226,1722
1478-Pinterest Ads,N/A,,6712,1954,5598,5284
1479-TikTok Ads,,,7158,5666,4520,6816
1480-TikTok Ads,null,,4668,3186,4893,5450
