ID_Venda,Data_Venda,Vendedor,Valor_Total
VND-2023-047,27/06/2023,Carlos,2167
VND-2023-048,05/01/2023,Carlos,191
VND-2023-049,18/07/2023,Carlos,1336
VND-2023-050,04/09/2023,Maria,1106
VND-2023-051,26/06/2023,Carlos,2642
VND-2023-052,18/08/2023,João,3397
VND-2023-053,09/06/2023,Carlos,1955
VND-2023-054,21/11/2023,Maria,2797
VND-2023-055,14/03/2023,João,1358
VND-2023-056,26/09/2023,Ana,187
VND-2023-057,02/01/2023,Maria,2562
VND-2023-058,20/07/2023,Ana,694
VND-2023-059,22/09/2023,Maria,2398
VND-2023-060,02/05/2023,Maria,760
VND-2023-061,24/03/2023,Maria,3140
VND-2023-062,30/07/2023,Carlos,2706
VND-2023-063,04/06/2023,Carlos,3121
VND-2023-064,17/12/2023,Carlos,1270
VND-2023-065,21/06/2023,Ana,1614
VND-2023-066,21/05/2023,Carlos,1932
VND-2023-067,12/05/2023,João,1577
VND-2023-068,29/10/2023,Maria,2539
VND-2023-069,19/03/2023,Carlos,1918
VND-2023-070,16/01/2023,Carlos,2980
VND-2023-071,13/04/2023,Maria,3052
VND-2023-072,02/01/2023,Carlos,3419
VND-2023-073,25/04/2023,Maria,1551
VND-2023-074,07/07/2023,Carlos,2214
VND-2023-075,09/10/2023,Ana,1505
VND-2023-076,27/01/2023,Ana,2005
VND-2023-077,04/11/2023,Carlos,692
VND-2023-078,08/02/2023,Ana,2463
VND-2023-079,29/04/2023,Ana,621
VND-2023-080,29/09/2023,João,707
VND-2023-081,17/08/2023,Carlos,2216
VND-2023-082,06/08/2023,Maria,2504
VND-2023-083,14/06/2023,João,2054
VND-2023-084,08/10/2023,João,435
VND-2023-085,04/05/2023,Carlos,871
VND-2023-086,25/04/2023,João,1141
VND-2023-087,30/07/2023,Maria,1391
VND-2023-088,22/08/2023,Maria,475
VND-2023-089,02/01/2023,Ana,2454
VND-2023-090,21/10/2023,Maria,215
VND-2023-091,24/05/2023,Maria,3281
VND-2023-092,21/06/2023,Carlos,2494
VND-2023-093,26/04/2023,Carlos,516
VND-2023-094,07/02/2023,Ana,2151
VND-2023-095,08/01/2023,Ana,1996
VND-2023-096,14/06/2023,Maria,623
VND-2023-097,28/09/2023,Ana,1886
VND-2023-098,26/04/2023,Ana,1988
VND-2023-099,02/10/2023,Maria,2847
VND-2023-100,05/08/2023,Maria,1484
VND-2023-101,18/01/2023,Maria,2272
VND-2023-102,10/11/2023,Carlos,1068
VND-2023-103,18/03/2023,Ana,363
VND-2023-104,16/02/2023,Ana,3459
VND-2023-105,13/04/2023,João,3087
VND-2023-106,02/10/2023,João,3494
VND-2023-107,06/06/2023,Ana,1082
VND-2023-108,13/12/2023,Carlos,1903
VND-2023-109,15/11/2023,Carlos,1364
VND-2023-110,13/09/2023,Carlos,2671
VND-2023-111,05/12/2023,Carlos,333
VND-2023-112,28/02/2023,Carlos,3081
VND-2023-113,01/11/2023,Ana,952
VND-2023-114,31/10/2023,Maria,2026
VND-2023-115,20/02/2023,Carlos,3232
VND-2023-116,02/02/2023,Carlos,471
VND-2023-117,16/03/2023,Ana,1203
VND-2023-118,05/03/2023,João,3202
VND-2023-119,03/09/2023,Carlos,1871
VND-2023-120,18/03/2023,Ana,2308
VND-2023-121,11/04/2023,Carlos,1970
VND-2023-122,14/11/2023,Carlos,1483
VND-2023-123,02/06/2023,Maria,3250
VND-2023-124,12/08/2023,Ana,263
VND-2023-125,30/08/2023,Maria,884
VND-2023-126,12/08/2023,Carlos,3060
VND-2023-127,20/11/2023,Carlos,266
VND-2023-128,16/02/2023,João,1492
VND-2023-129,09/06/2023,Ana,870
VND-2023-130,05/02/2023,Ana,2562
VND-2023-131,12/04/2023,Maria,1431
VND-2023-132,02/03/2023,João,904
VND-2023-133,25/10/2023,João,2661
VND-2023-134,09/11/2023,Ana,3434
VND-2023-135,12/06/2023,Ana,1917
VND-2023-136,13/09/2023,João,507
VND-2023-137,08/08/2023,Ana,2955
VND-2023-138,12/09/2023,Carlos,862
VND-2023-139,13/03/2023,Carlos,1876
VND-2023-140,15/09/2023,Carlos,1123
VND-2023-141,22/03/2023,Ana,1855
VND-2023-142,12/02/2023,Ana,1429
VND-2023-143,03/04/2023,João,739
VND-2023-144,28/06/2023,Maria,3405
VND-2023-145,17/02/2023,Maria,2936
VND-2023-146,03/03/2023,Ana,2859
VND-2023-147,02/06/2023,Ana,2764
VND-2023-148,30/11/2023,João,1447
VND-2023-149,12/07/2023,João,1212
VND-2023-150,30/09/2023,Carlos,447
