ID_Venda,Data_Venda,Vendedor,Valor_Total
VND-2024-107,23/11/2024,Maria,483
VND-2024-108,27/10/2024,Carlos,561
VND-2024-109,20/04/2024,Ana,1226
VND-2024-110,07/10/2024,Ana,3475
VND-2024-111,24/07/2024,Maria,382
VND-2024-112,15/09/2024,João,2061
VND-2024-113,22/11/2024,Ana,2896
VND-2024-114,13/08/2024,João,3102
VND-2024-115,06/03/2024,Carlos,2409
VND-2024-116,01/03/2024,Carlos,3351
VND-2024-117,19/02/2024,Maria,2852
VND-2024-118,23/03/2024,Carlos,1227
VND-2024-119,21/09/2024,Ana,2038
VND-2024-120,20/12/2024,Maria,900
VND-2024-121,13/01/2024,João,2236
VND-2024-122,07/01/2024,Ana,910
VND-2024-123,03/03/2024,Maria,3271
VND-2024-124,27/11/2024,João,536
VND-2024-125,28/07/2024,Carlos,837
VND-2024-126,29/10/2024,João,3001
VND-2024-127,01/01/2024,Carlos,1195
VND-2024-128,25/04/2024,Maria,2980
VND-2024-129,28/03/2024,Carlos,1413
VND-2024-130,31/07/2024,Maria,1802
VND-2024-131,09/02/2024,Ana,2508
VND-2024-132,04/09/2024,Maria,3166
VND-2024-133,11/04/2024,Carlos,2985
VND-2024-134,12/10/2024,João,3426
VND-2024-135,25/03/2024,Maria,1976
VND-2024-136,27/01/2024,Maria,2933
VND-2024-137,23/06/2024,Maria,2804
VND-2024-138,31/07/2024,Ana,2030
VND-2024-139,29/11/2024,Ana,3341
VND-2024-140,25/12/2024,Maria,3431
VND-2024-141,16/12/2024,Carlos,1294
VND-2024-142,23/12/2024,Ana,1762
VND-2024-143,14/11/2024,Maria,1346
VND-2024-144,14/09/2024,João,2708
VND-2024-145,30/04/2024,Ana,436
VND-2024-146,19/04/2024,Ana,1759
VND-2024-147,31/03/2024,João,3268
VND-2024-148,02/08/2024,João,271
VND-2024-149,16/08/2024,João,769
VND-2024-150,18/02/2024,Maria,2425
