id_lead,data_cadastro,interagiu_chatbot,ai_lead_score,status_assinatura
L-6132,2025-02-24,,Frio,Trial
L-7721,2025-10-20,Sim,Quente,Ativo
L-2987,2025-06-20,Sim,Quente,Trial
L-3656,2025-01-19,Sim,Quente,Ativo
L-4528,2025-02-25,Nao,Frio,Ativo
L-8431,2025-11-18,Nao,Frio,Ativo
L-3425,2025-04-16,Nao,Morno,Trial
L-4930,2025-03-21,Sim,Quente,Trial
L-6468,2025-09-07,Sim,Quente,Cancelado
L-2151,2025-11-12,Nao,Quente,Ativo
L-1548,2026-01-08,Nao,Morno,Ativo
L-4793,2025-06-25,Sim,Quente,Trial
L-6519,2026-01-23,Nao,Frio,Ativo
L-2921,2025-08-06,Nao,Frio,Inativo
L-1778,1900-01-01,Nao,Morno,Ativo
L-6897,2026-01-15,Nao,Quente,Ativo
L-8948,2025-07-21,Sim,Quente,Trial
L-8983,2025-03-10,Nao,Morno,Cancelado
L-8059,2025-08-24,Nao,Frio,Inativo
L-2207,2025-10-06,Nao,Quente,Inativo
L-1330,2025-06-15,Sim,Quente,Ativo
L-9138,2025-02-25,,Frio,Trial
L-5458,2025-03-14,Nao,Frio,Ativo
L-6871,2025-04-12,,Frio,Cancelado
L-6218,2026-01-25,Sim,Quente,Ativo
L-9478,2025-02-25,Nao,Frio,Trial
L-9812,2026-01-08,Sim,Morno,Inativo
L-5317,2025-04-25,Nao,Morno,Inativo
L-4826,2025-05-07,Sim,Quente,Ativo
L-1206,2025-09-03,Sim,Quente,Trial
L-6683,2025-03-31,Sim,Quente,Ativo
L-6367,2025-11-20,Sim,Quente,Cancelado
L-8578,2025-06-24,Nao,Frio,Cancelado
L-5363,2026-02-01,Sim,Morno,Ativo
L-7571,2025-02-10,Sim,Morno,Cancelado
L-8803,2025-04-23,Sim,Frio,Trial
L-8249,2026-01-22,,Frio,Ativo
L-7477,2025-05-31,Nao,Morno,Inativo
L-8795,2025-07-22,Nao,Frio,Trial
L-7723,2025-03-03,Sim,Quente,Ativo
L-4927,2025-09-15,Nao,Frio,Cancelado
L-9001,2025-09-10,Sim,Quente,Ativo
L-2154,2025-09-22,Nao,Morno,Ativo
L-8081,2025-12-10,Nao,Quente,Inativo
L-2467,2025-01-06,Sim,Quente,Ativo
L-7781,2025-07-24,Nao,Frio,Ativo
L-1110,2025-12-02,Nao,Frio,Cancelado
L-9296,2025-03-12,Nao,Morno,Ativo
L-4823,2025-12-07,Nao,Frio,Cancelado
L-6989,2025-09-03,Sim,Quente,Ativo
L-9117,2025-06-02,Nao,Morno,Inativo
L-4969,2025-11-29,Sim,Morno,Trial
L-1113,2025-11-20,Sim,Quente,Cancelado
L-5339,2025-05-13,Nao,Frio,Ativo
L-4962,2025-06-25,Sim,Quente,Cancelado
L-8319,2025-01-20,Sim,Frio,Ativo
L-9988,2025-10-03,Sim,Quente,Ativo
L-2824,2025-06-03,Nao,Frio,Inativo
L-2878,2025-08-31,Nao,Frio,Cancelado
L-4518,2025-06-10,Sim,Quente,Cancelado
L-2522,2025-06-21,Sim,Quente,Trial
L-2938,2025-10-24,Nao,Morno,Trial
L-4679,2026-01-15,Sim,Quente,Ativo
L-8302,2025-08-01,Nao,Quente,Trial
L-4861,2025-01-30,Sim,Morno,Cancelado
L-1603,2025-12-13,Sim,Morno,Ativo
L-4493,2025-12-21,Sim,Quente,Trial
L-7266,2025-07-05,Nao,Morno,Inativo
L-5332,2025-05-10,Nao,Frio,Cancelado
L-4623,2025-09-18,Sim,Frio,Ativo
L-9103,2025-11-10,Nao,Morno,Cancelado
L-3499,2025-05-31,Sim,Quente,Trial
L-3935,2025-05-30,Sim,Morno,Trial
L-4336,2025-08-15,Nao,Frio,Trial
L-7124,2025-08-02,Nao,Morno,Trial
L-2098,2025-04-09,Sim,Frio,Ativo
L-4337,2025-05-24,Sim,Frio,Trial
L-4592,2025-05-14,Sim,Morno,Ativo
L-5715,2025-10-24,,Frio,Trial
L-9807,2025-07-19,Nao,Quente,Cancelado
L-7283,2025-03-10,Nao,Morno,Ativo
L-2714,2025-05-30,Sim,Quente,Trial
L-8356,2025-08-15,Nao,Quente,Trial
L-3881,2025-07-01,Nao,Morno,Cancelado
L-5681,2025-02-20,Nao,Quente,Ativo
L-6401,2025-02-19,Nao,Quente,Ativo
L-7216,2025-09-22,,Morno,Trial
L-4578,2025-05-07,Nao,Frio,Ativo
L-5338,2025-02-06,Nao,Frio,Inativo
L-4808,2025-12-04,Sim,Morno,Ativo
L-6505,2025-02-22,Nao,Morno,Inativo
L-4493,2025-08-17,Sim,Quente,Ativo
L-5864,2025-07-03,Nao,Frio,Cancelado
L-7812,2025-11-05,Sim,Quente,Ativo
L-3463,2025-08-23,,Morno,Trial
L-6682,2025-10-16,,Frio,Ativo
L-2493,2025-11-04,Nao,Morno,Ativo
L-8480,2025-01-20,Nao,Morno,Ativo
L-2892,2025-03-26,Nao,Morno,Cancelado
L-5073,2025-03-26,,Frio,Ativo
L-1215,2025-08-12,Sim,Quente,Cancelado
L-1003,2025-01-03,Nao,Frio,Ativo
L-9877,2025-05-19,Nao,Frio,Inativo
L-1284,2025-05-27,Sim,Quente,Ativo
L-3657,2025-07-12,Nao,Frio,Trial
L-5660,2025-08-31,Nao,Frio,Ativo
L-3050,2025-03-11,Sim,Quente,Ativo
L-6349,2025-05-21,,Morno,Ativo
L-5142,2025-04-19,Sim,Quente,Ativo
L-7147,2025-01-18,Nao,Frio,Ativo
L-2586,2025-10-01,Nao,Frio,Ativo
L-8852,2025-03-26,Nao,Morno,Ativo
L-1982,2025-01-17,,Morno,Trial
L-2654,2026-01-30,Sim,Morno,Trial
L-4406,2025-07-21,Nao,Frio,Ativo
L-6729,2025-01-19,Sim,Quente,Cancelado
L-1795,2025-12-03,Sim,Morno,Ativo
L-5130,2025-05-03,Sim,Quente,Ativo
L-5791,2025-10-22,Nao,Frio,Inativo
L-6631,2025-02-15,Nao,Frio,Ativo
L-8032,2025-10-02,Sim,Quente,Ativo
L-5512,2025-08-05,Sim,Frio,Cancelado
L-4793,2025-05-07,Sim,Morno,Ativo
L-5369,2025-12-15,Sim,Quente,Ativo
L-3345,2025-04-02,Nao,Frio,Inativo
L-6815,2025-07-08,Nao,Frio,Trial
L-9818,2025-11-04,Nao,Morno,Trial
L-8415,2025-01-10,Sim,Quente,Trial
L-6450,2025-11-14,Sim,Morno,Cancelado
L-3434,2025-04-23,Nao,Morno,Inativo
L-7926,2025-12-21,Nao,Morno,Inativo
L-8811,2025-06-10,Nao,Frio,Ativo
L-7389,2025-01-17,,Frio,Trial
L-2510,2025-03-23,Nao,Morno,Trial
L-2484,2026-01-26,Sim,Quente,Ativo
L-8048,2025-07-28,Nao,Morno,Ativo
L-4293,2025-09-24,Nao,Morno,Trial
L-3080,2025-09-02,Sim,Quente,Ativo
L-4115,2025-02-16,,Frio,Ativo
L-4628,2025-07-22,Nao,Frio,Inativo
L-6647,2025-09-03,,Frio,Ativo
L-7111,2025-06-15,,Frio,Trial
L-5870,2025-09-07,Nao,Frio,Ativo
L-9885,2025-07-31,Nao,Frio,Trial
L-9358,2026-02-01,Nao,Morno,Inativo
L-3620,2025-04-14,Sim,Morno,Trial
L-8257,2025-11-25,Sim,Quente,Ativo
L-8573,2025-06-29,Sim,Morno,Ativo
L-7177,2025-08-08,Nao,Morno,Cancelado
L-8904,2025-03-09,Nao,Morno,Ativo
L-4734,2025-09-06,Sim,Morno,Ativo
L-3958,2025-08-16,Nao,Frio,Ativo
L-6294,2025-09-09,Sim,Morno,Ativo
L-8486,2025-09-22,Nao,Morno,Trial
L-6494,2025-06-26,Nao,Frio,Ativo
L-7794,2025-10-22,Nao,Morno,Cancelado
L-4362,2025-01-08,Sim,Quente,Trial
L-6353,2025-08-10,Sim,Morno,Cancelado
L-8976,2025-12-08,Nao,Morno,Cancelado
L-6496,2025-05-01,Sim,Morno,Inativo
L-7488,2025-05-14,Nao,Morno,Cancelado
L-2020,2026-01-26,Nao,Frio,Trial
L-3622,2025-01-06,Nao,Morno,Ativo
L-8486,2026-01-15,Nao,Quente,Ativo
L-2602,2025-12-21,Nao,Morno,Cancelado
L-6294,2025-02-02,,Morno,Ativo
L-7960,2025-07-10,Sim,Quente,Inativo
L-4755,2025-06-04,,Frio,Cancelado
L-1289,2025-01-17,Sim,Morno,Trial
L-2888,2025-09-13,Nao,Morno,Ativo
L-6274,2025-07-12,Nao,Frio,Trial
L-5805,2025-11-04,Nao,Morno,Ativo
L-4234,2025-08-26,Nao,Morno,Ativo
L-9584,2025-08-25,Sim,Quente,Ativo
L-2294,2025-03-27,Sim,Morno,Trial
L-1317,2025-02-14,Sim,Quente,Cancelado
L-2688,2026-01-28,Nao,Morno,Ativo
L-9484,2025-05-17,Sim,Quente,Trial
L-3172,2025-01-07,Nao,Frio,Ativo
L-2174,2025-04-07,Sim,Quente,Ativo
L-5296,2025-10-16,Nao,Frio,Ativo
L-3984,2025-06-23,Nao,Frio,Ativo
L-2956,2025-02-12,Sim,Quente,Ativo
L-7647,2025-04-18,Sim,Quente,Ativo
L-5159,2025-05-17,Sim,Quente,Cancelado
L-5709,2025-05-18,Nao,Morno,Trial
L-6637,2025-12-31,Nao,Morno,Trial
L-7415,2025-11-04,Nao,Morno,Cancelado
L-3709,2025-05-12,Nao,Frio,Ativo
L-7033,2026-01-04,Sim,Morno,Trial
L-8744,2025-09-02,Nao,Frio,Trial
L-7388,2025-08-15,Sim,Quente,Ativo
L-6984,2025-12-23,Sim,Morno,Trial
L-7609,2025-05-16,,Frio,Ativo
L-4836,2025-08-21,Sim,Quente,Ativo
L-2384,2025-01-17,Nao,Frio,Ativo
L-4161,2025-10-28,Sim,Quente,Inativo
L-4902,2025-05-19,Sim,Morno,Cancelado
L-1930,2025-01-28,Sim,Quente,Cancelado
L-7402,2025-08-31,Nao,Quente,Trial
L-6965,2025-11-09,,Morno,Ativo
L-3139,2025-03-03,Nao,Quente,Trial
L-5899,2025-03-20,Nao,Frio,Inativo
L-3305,2025-11-15,Sim,Quente,Ativo
L-7517,2025-09-24,Nao,Morno,Cancelado
L-5582,2025-06-27,Sim,Quente,Ativo
L-4457,2025-12-25,Nao,Morno,Ativo
L-6917,2025-04-13,Nao,Quente,Inativo
L-7677,2025-08-14,,Frio,Cancelado
L-7833,2025-01-16,Sim,Frio,Ativo
L-1328,2025-02-18,Nao,Frio,Ativo
L-2403,2025-04-09,Sim,Morno,Ativo
L-4823,2025-10-27,Nao,Morno,Cancelado
L-5557,2025-07-09,Nao,Morno,Ativo
L-9619,2025-03-29,Sim,Morno,Cancelado
L-6773,2025-10-14,Nao,Frio,Cancelado
L-7803,2025-03-24,Nao,Frio,Ativo
L-4314,2025-08-09,Nao,Frio,Ativo
L-7097,2025-09-19,Sim,Quente,Trial
L-8415,2025-03-03,Nao,Morno,Trial
L-8690,2025-10-14,Nao,Morno,Ativo
L-4584,2025-01-08,Sim,Morno,Trial
L-2582,2025-10-22,Nao,Frio,Ativo
L-5859,2025-01-03,Sim,Frio,Inativo
L-9639,2025-04-06,Sim,Quente,Ativo
L-8706,2025-07-11,Sim,Quente,Trial
L-9934,2025-07-11,,Morno,Trial
L-6111,2025-05-15,,Quente,Ativo
L-9888,2025-06-04,Sim,Morno,Cancelado
L-8085,2025-06-09,Sim,Morno,Ativo
L-2453,2025-12-06,Nao,Morno,Cancelado
L-5338,2025-10-06,Nao,Morno,Trial
L-9261,2025-06-06,Nao,Morno,Inativo
L-1332,2025-11-30,Sim,Quente,Ativo
L-2884,2025-07-27,Nao,Morno,Inativo
L-2389,2025-04-09,,Frio,Ativo
L-9077,2025-01-07,Sim,Morno,Cancelado
L-6704,2025-05-24,Nao,Frio,Inativo
L-4425,2025-09-18,Sim,Quente,Cancelado
L-6227,2025-09-29,Sim,Quente,Trial
L-2464,2025-11-29,Nao,Frio,Ativo
L-8442,2025-09-20,Nao,Morno,Inativo
L-6769,2025-08-26,Nao,Frio,Cancelado
L-8388,2025-02-21,Nao,Morno,Ativo
L-4768,2025-03-24,Sim,Quente,Trial
L-6903,2025-02-05,Sim,Frio,Ativo
L-7658,2025-05-13,Sim,Quente,Ativo
L-1537,2025-05-12,Sim,Quente,Ativo
L-2939,2025-10-06,,Frio,Inativo
L-7554,2025-02-20,Sim,Morno,Ativo
L-5966,2025-10-04,Sim,Morno,Trial
L-4258,2025-06-15,,Morno,Ativo
L-3952,2025-12-17,Sim,Quente,Trial
L-1297,2025-09-28,Nao,Morno,Ativo
L-1359,2025-03-28,Nao,Morno,Inativo
L-2069,2025-01-13,Nao,Morno,Ativo
L-7352,2025-11-29,,Morno,Ativo
L-1547,2025-08-04,Sim,Quente,Ativo
L-5437,2025-02-10,Sim,Frio,Cancelado
L-6820,2025-09-21,Sim,Quente,Trial
L-9095,2025-11-27,Nao,Morno,Ativo
L-4604,2025-11-28,Nao,Frio,Trial
L-3282,2025-04-01,Nao,Frio,Ativo
L-8785,2025-04-02,Nao,Morno,Trial
L-2188,2025-12-18,,Morno,Ativo
L-8369,2025-10-14,Nao,Morno,Inativo
L-7538,2025-06-21,Nao,Frio,Ativo
L-1202,2025-03-27,Nao,Morno,Trial
L-3034,2025-06-30,Sim,Quente,Ativo
L-5561,2025-10-13,Sim,Quente,Ativo
L-7918,2025-12-10,Nao,Morno,Trial
L-2438,2025-03-18,Sim,Quente,Trial
L-5795,2025-09-09,,Morno,Ativo
L-3148,2025-05-09,Nao,Morno,Trial
L-5713,2025-12-24,Sim,Morno,Trial
L-5142,2025-03-04,Sim,Quente,Cancelado
L-1058,2025-12-15,Sim,Quente,Ativo
L-4631,2025-09-14,Nao,Morno,Inativo
L-4122,2026-01-20,Nao,Morno,Ativo
L-6500,2025-06-23,,Morno,Trial
L-4850,2025-03-19,Nao,Frio,Cancelado
L-8494,2025-05-05,Sim,Morno,Ativo
L-2686,2025-08-24,Nao,Frio,Cancelado
L-3310,2025-11-15,Nao,Quente,Cancelado
L-3506,2025-08-17,Nao,Frio,Cancelado
L-7388,2025-04-04,Nao,Quente,Ativo
L-2212,2025-07-12,Nao,Frio,Ativo
L-5406,2025-11-02,Nao,Morno,Cancelado
L-5020,2025-07-26,Sim,Quente,Inativo
L-9226,2025-08-09,,Frio,Ativo
L-2627,2025-05-04,Sim,Quente,Cancelado
L-4195,2025-08-12,Sim,Quente,Ativo
L-6040,2025-05-19,Sim,Morno,Trial
L-1720,2025-10-09,Sim,Frio,Ativo
L-5478,2025-08-11,Nao,Frio,Trial
L-7825,2025-08-27,Sim,Quente,Trial
L-5709,2025-07-04,Sim,Quente,Ativo
L-2079,2025-12-13,,Quente,Ativo
L-3008,1900-01-01,Sim,Morno,Ativo
L-2857,2025-02-07,Sim,Morno,Ativo
L-2527,2025-09-20,Nao,Frio,Inativo
L-8153,2025-07-27,Nao,Frio,Ativo
L-7959,2025-04-21,Nao,Frio,Inativo
L-7321,2025-06-13,Sim,Morno,Inativo
L-3106,2025-09-28,Sim,Frio,Cancelado
L-5859,2025-05-12,Nao,Quente,Trial
L-1594,2025-03-23,Nao,Morno,Trial
L-1010,2025-07-19,Nao,Frio,Inativo
L-6737,2025-01-17,Sim,Quente,Trial
L-8154,2025-12-31,Sim,Quente,Trial
L-4524,2025-04-08,Sim,Quente,Ativo
L-2095,2025-03-07,Nao,Frio,Trial
L-2822,2025-08-06,,Quente,Ativo
L-6945,2025-11-10,Nao,Frio,Ativo
L-7513,2025-03-15,Sim,Quente,Ativo
L-2916,2025-12-27,Sim,Morno,Trial
L-1030,2025-04-06,Sim,Morno,Ativo
L-1556,2025-07-29,Nao,Frio,Ativo
L-4913,2026-01-30,Nao,Morno,Cancelado
L-7032,2025-12-17,Nao,Frio,Cancelado
L-6850,2025-05-20,Nao,Morno,Cancelado
L-4060,2025-10-26,Nao,Frio,Ativo
L-3956,2025-03-22,Nao,Quente,Inativo
L-2456,2025-12-12,Sim,Quente,Ativo
L-8571,2025-01-26,Sim,Quente,Trial
L-1802,2025-11-11,Nao,Frio,Ativo
L-9686,2025-12-14,Nao,Morno,Trial
L-3455,2025-10-29,Sim,Morno,Cancelado
L-6534,2025-04-30,Nao,Frio,Trial
L-1354,2025-07-02,Nao,Morno,Trial
L-4356,2025-12-23,,Quente,Trial
L-1907,2025-12-18,Nao,Morno,Trial
L-7811,2025-04-21,Nao,Frio,Ativo
L-1220,2025-03-06,,Morno,Ativo
L-7572,2025-09-22,Nao,Frio,Cancelado
L-4250,2025-10-04,Nao,Morno,Trial
L-5865,2025-11-05,Sim,Quente,Trial
L-2954,2025-10-28,Nao,Morno,Ativo
L-2283,2025-07-05,Sim,Morno,Ativo
L-6985,2025-04-30,Nao,Morno,Trial
L-7957,2025-02-23,Nao,Quente,Inativo
L-3215,2025-05-25,Sim,Quente,Trial
L-4893,2026-01-19,Nao,Quente,Inativo
L-2154,2025-05-20,Nao,Frio,Trial
L-9754,2025-09-26,Nao,Morno,Cancelado
L-4992,2025-05-21,,Morno,Trial
L-8839,2025-02-15,Sim,Morno,Trial
L-2019,2025-06-20,Nao,Frio,Trial
L-7027,2025-08-09,Nao,Frio,Trial
L-2139,2025-07-27,Nao,Morno,Trial
L-5528,2025-04-30,Nao,Frio,Cancelado
L-3746,2025-04-29,Sim,Frio,Ativo
L-1605,2025-09-03,,Frio,Trial
L-5432,2025-12-06,Sim,Morno,Trial
L-1148,2025-04-28,Nao,Morno,Cancelado
L-1542,2025-03-16,Sim,Quente,Cancelado
L-8027,2025-09-17,Nao,Frio,Trial
L-1023,2025-09-24,Nao,Frio,Cancelado
L-2066,2025-06-16,Sim,Morno,Cancelado
L-8000,2025-08-11,Nao,Frio,Trial
L-7958,2025-09-04,Nao,Morno,Trial
L-9578,2026-01-23,Nao,Frio,Ativo
L-6405,2025-01-26,Nao,Morno,Ativo
L-3938,2025-05-20,Sim,Quente,Trial
L-6424,2025-03-17,Sim,Quente,Trial
L-5464,2025-01-05,,Frio,Ativo
L-7188,2025-06-12,Nao,Quente,Ativo
L-4270,2025-11-21,,Frio,Ativo
L-4967,2025-09-07,Sim,Morno,Trial
L-4985,2025-12-06,Sim,Quente,Ativo
L-1238,2025-02-27,Nao,Morno,Ativo
L-7215,2025-09-01,Nao,Morno,Trial
L-9605,2025-08-23,,Frio,Trial
L-7014,2025-12-14,Nao,Morno,Cancelado
L-9043,2025-06-09,Sim,Quente,Ativo
L-9933,2025-09-23,Nao,Quente,Ativo
L-7453,2025-09-03,Nao,Frio,Trial
L-5657,2025-10-26,Nao,Morno,Cancelado
L-9548,2025-09-03,,Morno,Ativo
L-1515,2025-08-03,Nao,Quente,Ativo
L-3469,2025-11-01,Nao,Morno,Trial
L-5846,2025-07-10,,Morno,Cancelado
L-5185,2025-08-02,Nao,Morno,Ativo
L-1665,2025-01-15,Nao,Morno,Ativo
L-3591,2025-10-18,Nao,Frio,Trial
L-8702,2025-04-02,,Frio,Ativo
L-9479,2025-05-17,,Quente,Trial
L-3979,2025-09-14,Nao,Frio,Ativo
L-9691,2025-07-06,Sim,Quente,Trial
L-9360,2025-07-08,Nao,Quente,Trial
L-5733,2025-11-04,Nao,Frio,Cancelado
L-1796,2025-06-06,Nao,Frio,Inativo
L-3807,2025-08-09,Nao,Quente,Ativo
L-1176,2025-09-21,Sim,Morno,Trial
L-5474,2025-01-03,Nao,Frio,Trial
L-5258,2025-10-03,Nao,Morno,Trial
L-4277,2025-06-16,Nao,Frio,Inativo
L-5339,2025-07-17,Nao,Frio,Cancelado
L-1968,2025-03-19,Nao,Quente,Ativo
L-8660,2025-02-18,Sim,Quente,Inativo
L-4717,2025-06-06,Sim,Morno,Trial
L-9444,2025-07-12,Sim,Morno,Inativo
L-7639,2025-07-14,Nao,Quente,Ativo
L-1532,2025-02-01,Nao,Morno,Ativo
L-7776,2025-02-20,Sim,Quente,Trial
L-7085,2025-03-02,Nao,Quente,Inativo
L-7394,2025-02-08,Nao,Morno,Ativo
L-7334,2025-04-21,Sim,Quente,Ativo
L-6775,2025-07-21,Sim,Quente,Trial
L-9480,2025-07-04,Sim,Frio,Ativo
L-5272,2025-11-21,Nao,Morno,Ativo
L-6207,2025-07-27,Nao,Frio,Trial
L-4277,2025-06-27,Nao,Frio,Cancelado
L-7794,2025-11-15,Nao,Quente,Ativo
L-1945,2025-10-07,Nao,Morno,Ativo
L-6599,2025-03-09,,Frio,Inativo
L-5613,2026-01-26,Sim,Quente,Trial
L-5201,2025-07-28,Sim,Quente,Cancelado
L-9427,2025-01-16,Sim,Quente,Ativo
L-6085,2025-10-01,Sim,Quente,Ativo
L-8650,2025-07-19,Nao,Frio,Cancelado
L-1094,2026-01-13,Nao,Frio,Trial
L-2833,2025-02-02,Sim,Quente,Inativo
L-6481,2025-11-18,Sim,Quente,Cancelado
L-9552,2025-01-28,Nao,Frio,Trial
L-9463,2025-08-20,Nao,Frio,Ativo
L-5249,2025-04-27,Sim,Morno,Ativo
L-8954,2025-06-14,Sim,Morno,Trial
L-3337,2025-04-27,Sim,Quente,Trial
L-9445,2025-08-29,Nao,Quente,Trial
L-8268,2025-02-26,Nao,Quente,Ativo
L-4931,2025-01-13,,Frio,Trial
L-3190,2025-11-03,,Morno,Inativo
L-4186,2025-09-30,Sim,Quente,Cancelado
L-1316,2025-01-09,Nao,Morno,Ativo
L-9109,2026-01-26,,Frio,Ativo
L-9540,2026-01-16,Sim,Quente,Ativo
L-2994,2025-08-26,Sim,Quente,Trial
L-1726,2025-11-22,,Morno,Ativo
L-5774,2025-04-06,Sim,Morno,Cancelado
L-2981,2026-01-17,Nao,Frio,Cancelado
L-1099,2025-11-29,Nao,Morno,Ativo
L-3737,2025-08-18,Nao,Frio,Trial
L-7662,2025-03-13,Sim,Quente,Ativo
L-9376,2025-04-24,Sim,Quente,Inativo
L-1919,2025-10-16,Nao,Frio,Trial
L-6047,2025-12-28,Nao,Morno,Ativo
L-9381,2025-05-23,Nao,Frio,Trial
L-8386,2025-02-11,Sim,Morno,Ativo
L-6986,2025-04-23,Nao,Quente,Cancelado
L-6162,2025-04-16,Nao,Morno,Ativo
L-9964,2026-01-20,Sim,Morno,Ativo
L-2129,2025-06-26,Nao,Frio,Cancelado
L-4722,2025-11-04,Sim,Morno,Ativo
L-6630,2026-01-18,Nao,Morno,Ativo
L-4291,2025-06-30,Nao,Morno,Trial
L-1587,2025-06-21,Sim,Morno,Inativo
L-6063,2025-05-15,Sim,Morno,Inativo
L-1741,2025-04-28,Nao,Frio,Trial
L-1473,2025-04-28,Nao,Morno,Ativo
L-1964,2025-07-16,Nao,Morno,Trial
L-8027,2025-01-07,Sim,Quente,Ativo
L-2786,2025-10-16,Nao,Morno,Ativo
L-1639,2025-01-09,,Frio,Ativo
L-9698,2025-11-28,Nao,Morno,Inativo
L-6109,2025-07-15,Nao,Frio,Ativo
L-6322,2025-08-31,Nao,Quente,Ativo
L-2759,2026-01-10,Sim,Morno,Trial
L-6240,2025-05-09,Sim,Quente,Inativo
L-1188,2025-10-21,Nao,Frio,Inativo
L-9688,2025-09-08,Sim,Morno,Ativo
L-5305,2025-01-16,Nao,Frio,Cancelado
L-2362,2025-01-18,Nao,Morno,Trial
L-9181,2025-03-11,Nao,Morno,Cancelado
L-9731,2025-02-17,Sim,Quente,Ativo
L-9791,2025-06-30,,Quente,Ativo
L-5609,2025-06-18,Sim,Quente,Trial
L-8511,2025-01-23,Nao,Morno,Ativo
L-1397,2026-01-11,Nao,Frio,Cancelado
L-9673,2025-11-02,Sim,Morno,Trial
L-7339,1900-01-01,Sim,Quente,Trial
L-3994,2025-06-26,Nao,Morno,Ativo
L-7236,2025-05-18,Nao,Frio,Ativo
L-6179,2025-09-03,Sim,Morno,Ativo
L-3303,2025-10-31,Nao,Quente,Ativo
L-2658,2025-06-07,Nao,Morno,Inativo
L-8600,2025-01-12,Sim,Morno,Ativo
L-4955,2025-07-25,Sim,Morno,Trial
L-8633,2025-03-09,Sim,Morno,Trial
L-2301,2025-01-02,Nao,Frio,Ativo
L-1758,2026-01-11,Nao,Quente,Inativo
L-2179,2025-02-20,Nao,Morno,Ativo
L-2152,2025-09-07,Nao,Morno,Trial
L-5414,2025-08-07,Sim,Frio,Ativo
L-9181,2026-01-21,Sim,Frio,Trial
L-1605,2025-03-04,Sim,Morno,Ativo
L-9095,2025-01-08,Nao,Frio,Trial
L-8794,2025-07-27,Sim,Frio,Ativo
L-4532,2025-11-14,Sim,Quente,Ativo
L-3820,2025-04-20,Nao,Morno,Ativo
L-8171,2025-07-04,Sim,Quente,Cancelado
L-3597,2025-12-31,Sim,Morno,Ativo
L-8963,2025-03-23,Sim,Quente,Cancelado
L-9587,2025-08-13,,Morno,Ativo
L-4075,2025-11-26,Nao,Quente,Ativo
L-2584,2025-01-13,Nao,Frio,Cancelado
L-8532,2025-07-29,Nao,Quente,Ativo
L-6907,2025-05-22,,Frio,Cancelado
L-6828,2025-08-23,Nao,Frio,Inativo
L-6885,2025-01-01,Nao,Morno,Ativo
L-2814,2025-02-05,Sim,Quente,Trial
L-1468,2025-12-05,Nao,Frio,Trial
L-7301,2025-11-05,Nao,Frio,Trial
L-8078,2025-06-14,Nao,Frio,Ativo
L-5049,2025-05-19,Sim,Quente,Cancelado
L-5716,2025-11-16,Sim,Morno,Ativo
L-3064,2025-04-17,Nao,Morno,Trial
L-6683,2025-12-04,Nao,Frio,Cancelado
L-2186,2025-06-01,Nao,Frio,Cancelado
L-6516,2026-01-26,Nao,Frio,Ativo
L-3628,2025-04-10,Sim,Morno,Trial
L-7457,2025-05-27,Sim,Morno,Inativo
L-2206,2025-01-29,Nao,Frio,Ativo
L-9811,2025-04-24,Nao,Frio,Ativo
L-8713,2025-02-16,Nao,Morno,Trial
L-9188,2025-08-15,Sim,Quente,Inativo
L-7728,2026-01-11,Sim,Quente,Ativo
