id_sessao,data_acesso,id_lead,utm_source,utm_medium,utm_campaign,custo_clique,converteu,receita_gerada
S-100039,2025-11-14 23:00:00,L-6442,Google,cpc,search_brand,2.48,Nao,0.0
S-100040,2026-02-05 13:00:00,,tik tok,cpc,viral_trend,0.69,Nao,0.0
S-100041,2025-08-29 07:00:00,,gogle ,cpc,search_brand,2.32,Nao,0.0
S-100042,2025-07-24 10:00:00,,google,organic,seo_blog,0.0,Nao,0.0
S-100043,2025-10-02 10:00:00,L-8119,email,automation,welcome_flow,0.0,Nao,0.0
S-100044,2025-06-26 23:00:00,,facebook,ads,retargeting_v1,1.16,Nao,0.0
S-100045,2025-12-29 13:00:00,, google,cpc,search_brand,2.44,Nao,0.0
S-100046,2025-12-07 10:00:00,,meta,ads,ai_launch,1.3,Nao,0.0
S-100047,2025-06-01 17:00:00,,gogle ,cpc,search_brand,1.88,Nao,0.0
S-100048,2025-07-27 17:00:00,,TikTok,cpc,viral_trend,0.8,Nao,0.0
S-100049,2025-08-15 21:00:00,,gogle ,cpc,search_brand,2.46,Nao,0.0
S-100050,2025-12-06 20:00:00,,meta,ads,ai_launch,1.75,Nao,0.0
S-100051,2025-01-13 01:00:00,,gogle ,cpc,search_brand,2.27,Nao,0.0
S-100052,2026-01-03 22:00:00,L-7965,gogle ,organic,seo_blog,1626.45,Nao,0.0
S-100053,2025-04-23 05:00:00,,tik tok,cpc,viral_trend,0.54,Nao,0.0
S-100054,2025-08-26 21:00:00,,instagram,ads,ai_launch,1.95,Nao,0.0
S-100055,2025-09-16 13:00:00,,tik tok,cpc,viral_trend,0.61,Nao,0.0
S-100056,2025-11-23 08:00:00,,instagram,ads,retargeting_v1,0.97,Nao,0.0
S-100057,2025-06-21 10:00:00,L-7678,tiktok,cpc,viral_trend,0.66,Nao,0.0
S-100058,2025-06-19 17:00:00,,meta,ads,ai_launch,1.42,Nao,0.0
S-100059,2026-01-27 18:00:00,,google,organic,seo_blog,0.0,Nao,0.0
S-100060,2025-10-03 23:00:00,,instagram,ads,retargeting_v1,1.14,Nao,0.0
S-100061,2025-12-09 21:00:00,,Meta Ads,ads,retargeting_v1,1.44,Nao,0.0
S-100062,2025-10-31 18:00:00,,meta,ads,ai_launch,1.14,Nao,0.0
S-100063,2025-04-19 14:00:00,,gogle ,organic,seo_blog,0.0,Nao,0.0
S-100064,2026-01-19 17:00:00,L-5051,GOOGLE,cpc,search_brand,1.57,Nao,0.0
S-100065,2025-04-13 00:00:00,,Meta Ads,ads,ai_launch,1.67,Nao,0.0
S-100066,2026-01-28 11:00:00,, google,cpc,search_brand,2.22,Nao,0.0
S-100067,2025-10-24 00:00:00,L-4978,Email,automation,welcome_flow,0.0,Nao,0.0
S-100068,2025-02-22 22:00:00,L-7071,instagram,ads,retargeting_v1,1.36,Sim,499.9
S-100069,2025-02-05 16:00:00,,meta,ads,ai_launch,1.82,Nao,0.0
S-100070,2025-08-24 22:00:00,,Google,cpc,search_brand,2.47,Nao,0.0
S-100071,2025-09-05 14:00:00,, google,organic,seo_blog,0.0,Nao,0.0
S-100072,2025-05-05 14:00:00,,facebook,ads,ai_launch,1.49,Nao,0.0
S-100073,2025-05-13 10:00:00,L-7658, google,organic,seo_blog,0.0,Nao,0.0
S-100074,2025-09-08 17:00:00,L-7625,facebook,ads,retargeting_v1,1.14,Sim,199.9
S-100075,2025-12-21 07:00:00,, google,organic,seo_blog,0.0,Nao,0.0
S-100076,2025-06-30 22:00:00,,FB,ads,ai_launch,1.12,Nao,0.0
S-100077,2026-01-26 22:00:00,,Google,cpc,search_brand,1.78,Nao,0.0
S-100078,2025-02-21 06:00:00,,GOOGLE,organic,seo_blog,0.0,Nao,0.0
S-100079,2025-10-11 09:00:00,L-8690,Meta Ads,ads,ai_launch,1.75,Sim,299.9
S-100080,2025-09-03 14:00:00,,google,organic,seo_blog,0.0,Nao,0.0
S-100081,2025-10-23 20:00:00,L-7818,Meta Ads,ads,ai_launch,1.56,Nao,0.0
S-100082,2025-11-07 19:00:00,,Meta Ads,ads,retargeting_v1,1.07,Nao,0.0
S-100083,2025-08-08 09:00:00,,meta,ads,ai_launch,1.74,Nao,0.0
S-100084,2025-12-05 02:00:00,,Google,cpc,search_brand,1.66,Nao,0.0
S-100085,2025-01-17 07:00:00,,GOOGLE,organic,seo_blog,0.0,Nao,0.0
S-100086,2025-11-17 18:00:00,,Meta Ads,ads,ai_launch,1.54,Nao,0.0
S-100087,2025-02-06 01:00:00,,GOOGLE,cpc,search_brand,2.32,Nao,0.0
S-100088,2025-06-05 22:00:00,,GOOGLE,organic,seo_blog,0.0,Nao,0.0
S-100089,2025-06-15 19:00:00,L-5415,google,organic,seo_blog,0.0,Nao,0.0
S-100090,2025-10-23 01:00:00,,Meta Ads,ads,retargeting_v1,1.26,Nao,0.0
S-100091,2025-11-22 15:00:00,,e-mail,automation,welcome_flow,0.0,Nao,0.0
S-100092,2025-12-22 15:00:00,,gogle ,organic,seo_blog,0.0,Nao,0.0
S-100093,2026-01-31 12:00:00,,tiktok,cpc,viral_trend,0.88,Nao,0.0
S-100094,2026-01-23 15:00:00,,meta,ads,ai_launch,1.55,Nao,0.0
S-100095,2025-03-04 00:00:00,L-2527,Email,automation,welcome_flow,0.0,Sim,499.9
S-100096,2025-04-26 03:00:00,,meta,ads,ai_launch,1.15,Nao,0.0
S-100097,2025-08-01 15:00:00,,email,automation,welcome_flow,0.0,Nao,0.0
S-100098,2025-03-11 02:00:00,L-9022,gogle ,organic,seo_blog,0.0,Sim,299.9
S-100099,2025-03-18 14:00:00,,FB,ads,ai_launch,1.76,Nao,0.0
S-100100,2025-12-24 07:00:00,,Meta Ads,ads,ai_launch,1.41,Nao,0.0
S-100101,2025-07-15 12:00:00,,Email,automation,welcome_flow,0.0,Nao,0.0
S-100102,2025-02-21 14:00:00,L-5342,gogle ,cpc,,1.64,Nao,0.0
S-100103,2025-06-23 19:00:00,,meta,ads,ai_launch,1.85,Nao,0.0
S-100104,2026-01-03 15:00:00,,tiktok,cpc,viral_trend,0.66,Nao,0.0
S-100105,2025-02-16 13:00:00,L-6314,Email,automation,welcome_flow,0.0,Nao,0.0
S-100106,2025-01-29 09:00:00,,gogle ,organic,seo_blog,0.0,Nao,0.0
S-100107,2025-02-10 19:00:00,,tik tok,cpc,viral_trend,0.85,Nao,0.0
S-100108,2025-08-24 08:00:00,,facebook,ads,ai_launch,1.68,Nao,0.0
S-100109,2025-10-28 09:00:00,,facebook,ads,ai_launch,1.46,Nao,0.0
S-100110,2025-02-24 07:00:00,,GOOGLE,organic,seo_blog,0.0,Nao,0.0
S-100111,2025-05-21 00:00:00,,meta,ads,ai_launch,1.75,Nao,0.0
S-100112,2025-04-28 19:00:00,,tiktok,cpc,viral_trend,0.93,Nao,0.0
S-100113,2025-03-12 20:00:00,L-5835,google,cpc,search_brand,1.94,Nao,0.0
S-100114,2025-06-17 23:00:00,,Google,organic,seo_blog,0.0,Nao,0.0
S-100115,2025-03-26 08:00:00,,e-mail,automation,welcome_flow,0.0,Nao,0.0
S-100116,2025-02-08 04:00:00,,Meta Ads,ads,retargeting_v1,1.31,Nao,0.0
S-100117,2025-07-07 02:00:00,,meta,ads,retargeting_v1,0.89,Nao,0.0
S-100118,2025-07-15 20:00:00,,email,automation,welcome_flow,0.0,Nao,0.0
S-100119,2025-11-09 07:00:00,,facebook,ads,ai_launch,1.3,Nao,0.0
S-100120,2025-06-05 15:00:00,,Google,cpc,search_brand,1.64,Nao,0.0
S-100121,2025-10-04 13:00:00,,Meta Ads,ads,ai_launch,1.65,Nao,0.0
S-100122,2025-05-24 01:00:00,,Meta Ads,ads,ai_launch,1.95,Nao,0.0
S-100123,2025-10-06 20:00:00,L-4475,gogle ,organic,seo_blog,0.0,Nao,0.0
S-100124,2025-11-25 20:00:00,,meta,ads,ai_launch,1.33,Nao,0.0
S-100125,2026-01-27 17:00:00,,Google,cpc,search_brand,1.73,Nao,0.0
S-100126,2025-05-22 04:00:00,L-6869,Email,automation,welcome_flow,0.0,Sim,99.9
S-100127,2025-05-02 18:00:00,L-8344,Google,organic,seo_blog,0.0,Nao,0.0
S-100128,2026-02-03 11:00:00,,meta,ads,ai_launch,1.22,Nao,0.0
S-100129,2025-12-04 16:00:00,,google,organic,seo_blog,0.0,Nao,0.0
S-100130,2025-08-16 02:00:00,,TikTok,cpc,viral_trend,0.55,Nao,0.0
S-100131,2025-06-16 12:00:00,L-4522,Email,automation,welcome_flow,0.0,Nao,0.0
S-100132,2025-08-09 14:00:00,,TikTok,cpc,viral_trend,0.82,Nao,0.0
S-100133,2025-12-07 08:00:00,,Google,organic,seo_blog,0.0,Nao,0.0
S-100134,2026-01-17 23:00:00,L-6793,Google,organic,seo_blog,0.0,Nao,0.0
S-100135,2025-12-07 13:00:00,,tik tok,cpc,viral_trend,0.7,Nao,0.0
S-100136,2025-03-21 21:00:00,,meta,ads,ai_launch,1.56,Nao,0.0
S-100137,2025-08-08 17:00:00,,Email,automation,welcome_flow,0.0,Nao,0.0
S-100138,2025-05-17 00:00:00,,GOOGLE,cpc,search_brand,1.85,Nao,0.0
S-100139,2025-02-05 04:00:00,,meta,ads,retargeting_v1,1.17,Nao,0.0
S-100140,2025-06-09 23:00:00,L-2336, google,organic,seo_blog,0.0,Nao,0.0
S-100141,2025-05-20 14:00:00,,facebook,ads,ai_launch,1.41,Nao,0.0
S-100142,2025-02-26 09:00:00,,instagram,ads,ai_launch,1.67,Nao,0.0
S-100143,2025-01-04 06:00:00,,Google,organic,seo_blog,0.0,Nao,0.0
S-100144,2025-08-09 05:00:00,L-1693, google,cpc,search_brand,2.0,Nao,0.0
S-100145,2025-08-12 00:00:00,,meta,ads,ai_launch,1.58,Nao,0.0
S-100146,2025-02-28 12:00:00,,GOOGLE,cpc,search_brand,2.45,Nao,0.0
S-100147,2025-08-12 03:00:00,, google,cpc,search_brand,1.58,Nao,0.0
S-100148,2026-02-03 05:00:00,,google,cpc,search_brand,1.69,Nao,0.0
S-100149,2025-11-27 04:00:00,L-9095,Google,cpc,search_brand,1.67,Nao,0.0
S-100150,2025-08-26 18:00:00,,facebook,ads,retargeting_v1,1.42,Nao,0.0
S-100151,2025-11-18 10:00:00,,google,cpc,search_brand,2.13,Nao,0.0
S-100152,2025-02-07 09:00:00,,meta,ads,ai_launch,1.83,Nao,0.0
S-100153,2025-11-11 19:00:00,,facebook,ads,ai_launch,1.95,Nao,0.0
S-100154,2025-10-20 20:00:00,, google,cpc,search_brand,1.65,Nao,0.0
S-100155,2025-06-25 22:00:00,,Google,cpc,,2.21,Nao,0.0
S-100156,2025-07-06 11:00:00,,e-mail,automation,welcome_flow,0.0,Nao,0.0
S-100157,2025-02-03 10:00:00,,gogle ,cpc,search_brand,2.22,Nao,0.0
S-100158,2025-06-20 02:00:00,L-2388,Meta Ads,ads,ai_launch,1.31,Nao,0.0
S-100159,2025-06-08 17:00:00,,GOOGLE,organic,seo_blog,0.0,Nao,0.0
S-100160,2025-09-27 02:00:00,,facebook,ads,ai_launch,1.02,Nao,0.0
S-100161,2026-01-28 15:00:00,,Google,cpc,search_brand,1.8,Nao,0.0
S-100162,2026-01-14 16:00:00,,GOOGLE,cpc,search_brand,2.12,Nao,0.0
S-100163,2025-12-21 19:00:00,,tiktok,cpc,viral_trend,0.53,Nao,0.0
S-100164,2025-11-09 09:00:00,,facebook,ads,retargeting_v1,0.97,Nao,0.0
S-100165,2025-04-10 11:00:00,,instagram,ads,ai_launch,1.46,Nao,0.0
S-100166,2025-03-24 06:00:00,,tiktok,cpc,viral_trend,0.54,Nao,0.0
S-100167,2025-12-31 16:00:00,,TikTok,cpc,viral_trend,0.61,Nao,0.0
S-100168,2025-02-16 07:00:00,,TikTok,cpc,viral_trend,0.79,Nao,0.0
S-100169,2025-02-11 11:00:00,L-5700,GOOGLE,cpc,search_brand,2.34,Nao,0.0
S-100170,2025-08-30 22:00:00,L-3449,tik tok,cpc,viral_trend,0.93,Sim,199.9
S-100171,2025-10-08 23:00:00,,facebook,ads,ai_launch,1.29,Nao,0.0
S-100172,2025-11-15 14:00:00,L-8032,gogle ,cpc,search_brand,1.52,Nao,0.0
S-100173,2025-01-01 19:00:00,L-9618, google,organic,seo_blog,0.0,Nao,0.0
S-100174,2025-10-06 16:00:00,,instagram,ads,retargeting_v1,1.07,Nao,0.0
S-100175,2025-05-10 23:00:00,,google,cpc,search_brand,2.23,Nao,0.0
S-100176,2025-06-20 04:00:00,, google,cpc,search_brand,2.14,Nao,0.0
S-100177,2025-09-03 20:00:00,L-4268,Google,cpc,search_brand,2.28,Nao,0.0
S-100178,2025-01-22 10:00:00,,Email,automation,welcome_flow,0.0,Nao,0.0
S-100179,2025-05-27 11:00:00,,tiktok,cpc,viral_trend,0.73,Nao,0.0
S-100180,2026-01-16 14:00:00,,TikTok,cpc,viral_trend,0.63,Nao,0.0
S-100181,2025-05-17 02:00:00,L-6372,meta,ads,retargeting_v1,1.5,Nao,0.0
S-100182,2025-12-05 09:00:00,, google,organic,seo_blog,0.0,Nao,0.0
S-100183,2025-06-30 19:00:00,,e-mail,automation,welcome_flow,0.0,Nao,0.0
S-100184,2025-09-20 23:00:00,L-7001,meta,ads,ai_launch,1.61,Nao,0.0
S-100185,2025-07-05 12:00:00,,email,automation,welcome_flow,0.0,Nao,0.0
S-100186,2025-10-21 04:00:00,L-9176,facebook,ads,ai_launch,1.28,Sim,199.9
S-100187,2025-09-23 12:00:00,,email,automation,welcome_flow,0.0,Nao,0.0
S-100188,2025-09-09 06:00:00,,google,cpc,search_brand,2.4,Nao,0.0
S-100189,2025-06-13 21:00:00,,google,organic,seo_blog,0.0,Nao,0.0
S-100190,2025-12-25 20:00:00,,GOOGLE,cpc,search_brand,1.62,Nao,0.0
S-100191,2025-01-14 11:00:00,L-7523,FB,ads,ai_launch,1.98,Nao,0.0
S-100192,2026-01-03 23:00:00,,facebook,ads,ai_launch,1.82,Nao,0.0
S-100193,2025-08-19 14:00:00,,FB,ads,ai_launch,1.83,Nao,0.0
S-100194,2025-03-08 13:00:00,,meta,ads,ai_launch,1.52,Nao,0.0
S-100195,2025-04-26 11:00:00,,Email,automation,welcome_flow,0.0,Nao,0.0
S-100196,2025-03-06 20:00:00,, google,organic,seo_blog,0.0,Nao,0.0
S-100197,2025-11-16 23:00:00,L-5336,e-mail,automation,welcome_flow,0.0,Sim,99.9
S-100198,2025-11-30 06:00:00,,facebook,ads,retargeting_v1,0.82,Nao,0.0
S-100199,2025-06-04 15:00:00,,gogle ,cpc,search_brand,1.57,Nao,0.0
S-100200,2025-04-15 10:00:00,,FB,ads,ai_launch,1.32,Nao,0.0
S-100201,2026-01-25 11:00:00,L-5754,meta,ads,ai_launch,1.47,Nao,0.0
S-100202,2025-07-16 19:00:00,,Google,organic,seo_blog,0.0,Nao,0.0
S-100203,2025-09-21 14:00:00,,FB,ads,ai_launch,1.09,Nao,0.0
S-100204,2025-10-26 11:00:00,,GOOGLE,cpc,search_brand,2.38,Nao,0.0
S-100205,2025-02-25 13:00:00,,GOOGLE,cpc,search_brand,2.26,Nao,0.0
S-100206,2025-04-10 11:00:00,,meta,ads,ai_launch,1.45,Nao,0.0
S-100207,2025-11-09 03:00:00,,google,cpc,search_brand,2.29,Nao,0.0
S-100208,2025-04-12 19:00:00,,instagram,ads,,1.04,Nao,0.0
S-100209,2025-03-18 19:00:00,,tiktok,cpc,viral_trend,0.93,Nao,0.0
S-100210,2025-06-03 18:00:00,, google,organic,seo_blog,0.0,Nao,0.0
S-100211,2025-12-11 03:00:00,,Email,automation,welcome_flow,0.0,Nao,0.0
S-100212,2025-05-16 20:00:00,,instagram,ads,retargeting_v1,1.3,Nao,0.0
S-100213,2025-11-14 12:00:00,L-7861,Google,cpc,,2.45,Sim,299.9
S-100214,2025-03-19 13:00:00,,facebook,ads,ai_launch,1.61,Nao,0.0
S-100215,2025-12-28 04:00:00,,instagram,ads,ai_launch,1.66,Nao,0.0
S-100216,2025-09-30 10:00:00,,FB,ads,ai_launch,1.19,Nao,0.0
S-100217,2025-06-02 09:00:00,,facebook,ads,retargeting_v1,1.04,Nao,0.0
S-100218,2025-03-04 18:00:00,L-1689,facebook,ads,ai_launch,1.39,Nao,0.0
S-100219,2025-05-28 22:00:00,,gogle ,cpc,search_brand,2.25,Nao,0.0
S-100220,2025-10-15 22:00:00,,google,organic,seo_blog,0.0,Nao,0.0
S-100221,2025-11-23 07:00:00,,gogle ,cpc,search_brand,1.97,Nao,0.0
S-100222,2025-03-22 13:00:00,,facebook,ads,ai_launch,1.2,Nao,0.0
S-100223,2026-01-29 02:00:00,,Meta Ads,ads,ai_launch,1.72,Nao,0.0
S-100224,2025-04-01 01:00:00,,e-mail,automation,welcome_flow,0.0,Nao,0.0
S-100225,2025-01-20 00:00:00,, google,organic,seo_blog,0.0,Nao,0.0
S-100226,2025-09-10 04:00:00,,TikTok,cpc,viral_trend,1.07,Nao,0.0
S-100227,2026-01-03 05:00:00,,GOOGLE,cpc,search_brand,2.07,Nao,0.0
S-100228,2025-07-27 13:00:00,,meta,ads,ai_launch,1.1,Nao,0.0
S-100229,2025-01-04 08:00:00,L-6890,gogle ,organic,seo_blog,0.0,Nao,0.0
S-100230,2025-12-21 07:00:00,,google,cpc,search_brand,1.66,Nao,0.0
S-100231,2026-01-30 09:00:00,,FB,ads,ai_launch,1.22,Nao,0.0
S-100232,2025-11-07 11:00:00,, google,organic,seo_blog,0.0,Nao,0.0
S-100233,2025-12-15 19:00:00,L-9972,tiktok,cpc,viral_trend,0.87,Nao,0.0
S-100234,2025-09-16 06:00:00,,Meta Ads,ads,ai_launch,1.85,Nao,0.0
S-100235,2025-09-08 02:00:00,L-8575,TikTok,cpc,viral_trend,0.82,Nao,0.0
S-100236,2025-12-11 09:00:00,L-6644,facebook,ads,retargeting_v1,0.8,Sim,499.9
S-100237,2025-12-25 02:00:00,,meta,ads,ai_launch,1.07,Nao,0.0
S-100238,2026-01-29 04:00:00,,facebook,ads,retargeting_v1,1.42,Nao,0.0
S-100239,2025-02-11 21:00:00,,Email,automation,welcome_flow,0.0,Nao,0.0
S-100240,2025-03-07 23:00:00,,email,automation,welcome_flow,0.0,Nao,0.0
S-100241,2025-07-14 07:00:00,L-7868,GOOGLE,cpc,search_brand,1.69,Nao,0.0
S-100242,2025-11-11 00:00:00,L-1724,google,cpc,search_brand,1.53,Nao,0.0
S-100243,2025-07-25 14:00:00,,Google,cpc,search_brand,2.28,Nao,0.0
S-100244,2026-01-10 18:00:00,, google,organic,seo_blog,0.0,Nao,0.0
S-100245,2025-09-24 07:00:00,,GOOGLE,organic,seo_blog,0.0,Nao,0.0
S-100246,2025-08-07 17:00:00,,FB,ads,ai_launch,1.67,Nao,0.0
S-100247,2025-03-18 09:00:00,, google,organic,seo_blog,0.0,Nao,0.0
S-100248,2025-01-30 17:00:00,,gogle ,organic,seo_blog,0.0,Nao,0.0
S-100249,2025-08-19 11:00:00,L-4555,Google,cpc,search_brand,1.88,Nao,0.0
S-100250,2025-09-03 06:00:00,,TikTok,cpc,viral_trend,1.14,Nao,0.0
S-100251,2026-01-18 15:00:00,,Email,automation,welcome_flow,0.0,Nao,0.0
S-100252,2025-07-14 14:00:00,,FB,ads,ai_launch,1.36,Nao,0.0
S-100253,2026-01-05 15:00:00,,FB,ads,retargeting_v1,1.06,Nao,0.0
S-100254,2025-03-16 00:00:00,, google,organic,seo_blog,0.0,Nao,0.0
S-100255,2025-05-06 15:00:00,,FB,ads,ai_launch,1.82,Nao,0.0
S-100256,2025-03-28 23:00:00,,Meta Ads,ads,retargeting_v1,1.18,Nao,0.0
S-100257,2025-01-31 16:00:00,,google,cpc,search_brand,2.17,Nao,0.0
S-100258,2025-04-29 02:00:00,,meta,ads,retargeting_v1,1.12,Nao,0.0
S-100259,2025-09-05 21:00:00,,meta,ads,ai_launch,1.41,Nao,0.0
S-100260,2025-05-27 00:00:00,L-4144,facebook,ads,ai_launch,1.91,Nao,0.0
S-100261,2025-11-14 16:00:00,,GOOGLE,organic,seo_blog,0.0,Nao,0.0
S-100262,2025-12-23 07:00:00,,google,organic,seo_blog,0.0,Nao,0.0
S-100263,2025-10-10 15:00:00,,google,cpc,search_brand,1.58,Nao,0.0
S-100264,2025-02-18 16:00:00,L-2218,email,automation,welcome_flow,0.0,Nao,0.0
S-100265,2025-12-17 08:00:00,L-3362,tik tok,cpc,viral_trend,0.63,Sim,199.9
S-100266,2026-01-21 22:00:00,,tiktok,cpc,viral_trend,0.89,Nao,0.0
S-100267,2025-10-04 10:00:00,,Google,organic,seo_blog,0.0,Nao,0.0
S-100268,2025-02-20 13:00:00,,google,cpc,search_brand,2.27,Nao,0.0
S-100269,2025-01-16 20:00:00,,gogle ,organic,seo_blog,0.0,Nao,0.0
S-100270,2025-12-05 12:00:00,, google,cpc,search_brand,1.75,Nao,0.0
S-100271,2025-11-21 04:00:00,,FB,ads,retargeting_v1,0.86,Nao,0.0
S-100272,2025-02-22 04:00:00,L-2524,gogle ,cpc,search_brand,2.05,Sim,299.9
S-100273,2025-11-02 19:00:00,,facebook,ads,,1.09,Nao,0.0
S-100274,2025-05-05 18:00:00,,facebook,ads,ai_launch,1.27,Nao,0.0
S-100275,2025-05-22 13:00:00,,google,organic,seo_blog,0.0,Nao,0.0
S-100276,2025-08-23 03:00:00,,google,cpc,search_brand,1.83,Nao,0.0
S-100277,2025-06-21 13:00:00,,tik tok,cpc,viral_trend,0.6,Nao,0.0
S-100278,2025-06-10 05:00:00,,e-mail,automation,welcome_flow,0.0,Nao,0.0
S-100279,2025-07-12 08:00:00,,TikTok,cpc,viral_trend,1.15,Nao,0.0
S-100280,2026-01-29 17:00:00,L-7703,gogle ,cpc,search_brand,1.71,Nao,0.0
S-100281,2025-12-11 15:00:00,L-8851,GOOGLE,cpc,search_brand,2.16,Nao,0.0
S-100282,2025-10-26 12:00:00,,facebook,ads,ai_launch,1.79,Nao,0.0
S-100283,2025-11-23 02:00:00,,Google,cpc,search_brand,1.86,Nao,0.0
S-100284,2025-12-13 20:00:00,,GOOGLE,organic,seo_blog,0.0,Nao,0.0
S-100285,2025-09-23 17:00:00,,instagram,ads,ai_launch,1.37,Nao,0.0
S-100286,2025-03-19 11:00:00,,e-mail,automation,welcome_flow,0.0,Nao,0.0
S-100287,2025-03-14 11:00:00,,gogle ,organic,seo_blog,0.0,Nao,0.0
S-100288,2025-08-20 10:00:00,,google,cpc,search_brand,1.62,Nao,0.0
S-100289,2025-03-26 23:00:00,,Google,cpc,search_brand,1.83,Nao,0.0
S-100290,2025-11-19 05:00:00,,gogle ,cpc,search_brand,2.24,Nao,0.0
S-100291,2025-01-03 22:00:00,,GOOGLE,cpc,search_brand,2.31,Nao,0.0
S-100292,2025-04-06 11:00:00,,gogle ,organic,seo_blog,0.0,Nao,0.0
S-100293,2025-07-18 19:00:00,,google,organic,seo_blog,0.0,Nao,0.0
S-100294,2025-06-02 19:00:00,L-7364,Meta Ads,ads,ai_launch,1.24,Nao,0.0
S-100295,2025-08-03 19:00:00,,gogle ,cpc,search_brand,1.99,Nao,0.0
S-100296,2025-03-30 17:00:00,,GOOGLE,cpc,search_brand,1.81,Nao,0.0
S-100297,2025-01-05 15:00:00,,gogle ,cpc,search_brand,2.01,Nao,0.0
S-100298,2025-08-16 15:00:00,, google,cpc,,2.26,Nao,0.0
S-100299,2025-03-28 14:00:00,,facebook,ads,ai_launch,1.11,Nao,0.0
S-100300,2025-07-07 17:00:00,,tiktok,cpc,viral_trend,0.81,Nao,0.0
S-100301,2025-12-01 07:00:00,,google,organic,seo_blog,0.0,Nao,0.0
S-100302,2026-02-02 07:00:00,, google,cpc,search_brand,2.36,Nao,0.0
S-100303,2025-04-16 06:00:00,,tik tok,cpc,viral_trend,0.7,Nao,0.0
S-100304,2025-05-29 18:00:00,, google,organic,seo_blog,0.0,Nao,0.0
S-100305,2025-01-31 08:00:00,,tiktok,cpc,viral_trend,0.59,Nao,0.0
S-100306,2025-12-13 12:00:00,,instagram,ads,ai_launch,1.63,Nao,0.0
S-100307,2026-01-29 02:00:00,,GOOGLE,organic,seo_blog,0.0,Nao,0.0
S-100308,2026-02-01 23:00:00,,gogle ,cpc,search_brand,2.2,Nao,0.0
